target,brand,focus_item,brand_checks,checks_with_focus_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
pillow,raiton,Матрас,386,208,0.5389,0.489,0.588
pillow,dimax,Матрас,183,70,0.3825,0.3152,0.4547
pillow,intex,Матрас,1844,147,0.0797,0.0682,0.093
pillow,ormatek verda,Матрас,51,4,0.0784,0.0309,0.185
pillow,bestway,Матрас,221,15,0.0679,0.0416,0.109
pillow,tempur,Матрас,786,44,0.056,0.042,0.0743
pillow,ol-tex,Матрас,36067,1325,0.0367,0.0348,0.0387
pillow,galtex,Матрас,503662,16213,0.0322,0.0317,0.0327
pillow,askona consul,Матрас,65,2,0.0308,0.0085,0.1054
pillow,ormatek,Матрас,10327,290,0.0281,0.0251,0.0314
pillow,comfort line,Матрас,447,8,0.0179,0.0091,0.0349
pillow,ночь нежна,Матрас,102514,1440,0.014,0.0133,0.0148
pillow,askona,Матрас,91553,1150,0.0126,0.0119,0.0133
pillow,sealy,Матрас,2618,33,0.0126,0.009,0.0176
pillow,ormatek proson,Матрас,159,2,0.0126,0.0035,0.0447
pillow,askona buyson,Матрас,142338,1709,0.012,0.0115,0.0126
pillow,iq sleep,Матрас,234671,2589,0.011,0.0106,0.0115
pillow,beckham hotel collection,Матрас,37471,361,0.0096,0.0087,0.0107
pillow,trelax,Матрас,13536,117,0.0086,0.0072,0.0103
pillow,blue sleep,Матрас,10045,82,0.0082,0.0066,0.0101
pillow,nature's,Матрас,972,7,0.0072,0.0035,0.0148
pillow,kariguz,Матрас,25922,179,0.0069,0.006,0.008
pillow,vegas,Матрас,667,4,0.006,0.0023,0.0153
pillow,muehldorfer,Матрас,184,1,0.0054,0.001,0.0301
pillow,medsleep,Матрас,53119,284,0.0053,0.0048,0.006
pillow,german grass,Матрас,375,2,0.0053,0.0015,0.0192
pillow,magniflex,Матрас,374,2,0.0053,0.0015,0.0193
pillow,togas,Матрас,10945,49,0.0045,0.0034,0.0059
pillow,luomma,Матрас,6595,19,0.0029,0.0018,0.0045
pillow,пухов домъ,Матрас,21897,28,0.0013,0.0009,0.0018
pillow,kanuda,Матрас,2370,2,0.0008,0.0002,0.0031
pillow,askona sleep professor,Матрас,106,0,0.0,0.0,0.035
pillow,dreamline,Матрас,48,0,0.0,0.0,0.0741
