target,hour_bucket,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,Ночь (00-05),29939,1,Детские товары,4508,0.1506,0.1466,0.1547
mattress,Ночь (00-05),29939,2,Одеяло,4404,0.1471,0.1431,0.1512
mattress,Ночь (00-05),29939,3,Косметика/гигиена,4116,0.1375,0.1336,0.1414
mattress,Утро (06-11),36392,1,Одеяло,5562,0.1528,0.1492,0.1566
mattress,Утро (06-11),36392,2,Детские товары,4293,0.118,0.1147,0.1213
mattress,Утро (06-11),36392,3,Кровать/каркас,3864,0.1062,0.1031,0.1094
mattress,День (12-17),39700,1,Одеяло,6621,0.1668,0.1631,0.1705
mattress,День (12-17),39700,2,Кровать/каркас,5163,0.1301,0.1268,0.1334
mattress,День (12-17),39700,3,Наматрасник/топпер,4173,0.1051,0.1021,0.1082
mattress,Вечер (18-23),37491,1,Одеяло,6368,0.1699,0.1661,0.1737
mattress,Вечер (18-23),37491,2,Наматрасник/топпер,4303,0.1148,0.1116,0.118
mattress,Вечер (18-23),37491,3,Кровать/каркас,4271,0.1139,0.1107,0.1172
