target,channel,checks_in_segment,rank,item,checks_with_item,attach_rate,attach_revenue_sum,avg_attach_sum,attach_rate_ci_low,attach_rate_ci_high
only_pillow,all,7251042,1,Одеяло,367256,0.0506,748140266.29,2037.11,0.0505,0.0508
only_pillow,all,7251042,2,Наволочка,337268,0.0465,474861155.73,1407.96,0.0464,0.0467
only_pillow,all,7251042,3,Косметика/гигиена,332681,0.0459,237088581.68,712.66,0.0457,0.046
only_pillow,all,7251042,4,Детские товары,196857,0.0271,225178984.95,1143.87,0.027,0.0273
only_pillow,all,7251042,5,Постельное белье,192984,0.0266,433688581.0,2247.28,0.0265,0.0267
only_pillow,all,7251042,6,Другая мебель,151372,0.0209,590419394.07,3900.45,0.0208,0.021
only_pillow,all,7251042,7,Полотенце,119560,0.0165,112806442.78,943.51,0.0164,0.0166
only_pillow,all,7251042,8,Простыня,113684,0.0157,144530116.8,1271.33,0.0156,0.0158
only_pillow,marketplace,7081170,1,Одеяло,352247,0.0497,659831507.05,1873.21,0.0496,0.0499
only_pillow,marketplace,7081170,2,Наволочка,331078,0.0468,458258231.23,1384.14,0.0466,0.0469
only_pillow,marketplace,7081170,3,Косметика/гигиена,324514,0.0458,229206002.97,706.31,0.0457,0.046
only_pillow,marketplace,7081170,4,Детские товары,193994,0.0274,221325924.95,1140.89,0.0273,0.0275
only_pillow,marketplace,7081170,5,Постельное белье,187148,0.0264,402337492.47,2149.84,0.0263,0.0265
only_pillow,marketplace,7081170,6,Другая мебель,142745,0.0202,342049891.1,2396.23,0.0201,0.0203
only_pillow,marketplace,7081170,7,Полотенце,116876,0.0165,108695708.78,930.01,0.0164,0.0166
only_pillow,marketplace,7081170,8,Простыня,110867,0.0157,136882722.04,1234.66,0.0156,0.0157
only_pillow,non_marketplace,169872,1,Одеяло,15009,0.0884,88308759.24,5883.72,0.087,0.0897
only_pillow,non_marketplace,169872,2,Другая мебель,8627,0.0508,248369502.97,28789.79,0.0498,0.0518
only_pillow,non_marketplace,169872,3,Косметика/гигиена,8167,0.0481,7882578.71,965.17,0.0471,0.0491
only_pillow,non_marketplace,169872,4,Наволочка,6190,0.0364,16602924.5,2682.22,0.0356,0.0373
only_pillow,non_marketplace,169872,5,Постельное белье,5836,0.0344,31351088.53,5372.02,0.0335,0.0352
only_pillow,non_marketplace,169872,6,Детские товары,2863,0.0169,3853060.0,1345.81,0.0163,0.0175
only_pillow,non_marketplace,169872,7,Простыня,2817,0.0166,7647394.76,2714.73,0.016,0.0172
only_pillow,non_marketplace,169872,8,Полотенце,2684,0.0158,4110734.0,1531.57,0.0152,0.0164
