target,channel,weekday,checks_in_slice,rank,item,checks_with_item,attach_rate,attach_rate_ci_low,attach_rate_ci_high
mattress,all,Понедельник,19818,1,Одеяло,3222,0.1626,0.1575,0.1678
mattress,all,Понедельник,19818,2,Детские товары,2194,0.1107,0.1064,0.1152
mattress,all,Понедельник,19818,3,Наматрасник/топпер,2187,0.1104,0.1061,0.1148
mattress,all,Вторник,19705,1,Одеяло,3146,0.1597,0.1546,0.1648
mattress,all,Вторник,19705,2,Детские товары,2198,0.1115,0.1072,0.116
mattress,all,Вторник,19705,3,Кровать/каркас,2187,0.111,0.1067,0.1154
mattress,all,Среда,20720,1,Одеяло,3375,0.1629,0.1579,0.168
mattress,all,Среда,20720,2,Детские товары,2377,0.1147,0.1105,0.1191
mattress,all,Среда,20720,3,Кровать/каркас,2268,0.1095,0.1053,0.1138
mattress,all,Четверг,20816,1,Одеяло,3310,0.159,0.1541,0.164
mattress,all,Четверг,20816,2,Детские товары,2393,0.115,0.1107,0.1194
mattress,all,Четверг,20816,3,Кровать/каркас,2274,0.1092,0.1051,0.1136
mattress,all,Пятница,21004,1,Одеяло,3391,0.1614,0.1565,0.1665
mattress,all,Пятница,21004,2,Детские товары,2424,0.1154,0.1112,0.1198
mattress,all,Пятница,21004,3,Кровать/каркас,2287,0.1089,0.1047,0.1132
mattress,all,Суббота,21657,1,Одеяло,3317,0.1532,0.1484,0.158
mattress,all,Суббота,21657,2,Кровать/каркас,2416,0.1116,0.1074,0.1158
mattress,all,Суббота,21657,3,Детские товары,2373,0.1096,0.1055,0.1138
mattress,all,Воскресенье,19802,1,Одеяло,3194,0.1613,0.1562,0.1665
mattress,all,Воскресенье,19802,2,Кровать/каркас,2213,0.1118,0.1074,0.1162
mattress,all,Воскресенье,19802,3,Детские товары,2129,0.1075,0.1033,0.1119
mattress,marketplace,Понедельник,17333,1,Одеяло,2692,0.1553,0.15,0.1608
mattress,marketplace,Понедельник,17333,2,Детские товары,2129,0.1228,0.118,0.1278
mattress,marketplace,Понедельник,17333,3,Наволочка,1964,0.1133,0.1087,0.1181
mattress,marketplace,Вторник,16949,1,Одеяло,2596,0.1532,0.1478,0.1587
mattress,marketplace,Вторник,16949,2,Детские товары,2143,0.1264,0.1215,0.1315
mattress,marketplace,Вторник,16949,3,Наволочка,1993,0.1176,0.1128,0.1225
mattress,marketplace,Среда,17953,1,Одеяло,2864,0.1595,0.1542,0.165
mattress,marketplace,Среда,17953,2,Детские товары,2320,0.1292,0.1244,0.1342
mattress,marketplace,Среда,17953,3,Наволочка,2047,0.114,0.1095,0.1188
mattress,marketplace,Четверг,17979,1,Одеяло,2786,0.155,0.1497,0.1603
mattress,marketplace,Четверг,17979,2,Детские товары,2343,0.1303,0.1255,0.1353
mattress,marketplace,Четверг,17979,3,Наволочка,2036,0.1132,0.1087,0.118
mattress,marketplace,Пятница,17997,1,Одеяло,2862,0.159,0.1538,0.1644
mattress,marketplace,Пятница,17997,2,Детские товары,2351,0.1306,0.1258,0.1356
mattress,marketplace,Пятница,17997,3,Наволочка,2081,0.1156,0.111,0.1204
mattress,marketplace,Суббота,18038,1,Одеяло,2755,0.1527,0.1476,0.1581
mattress,marketplace,Суббота,18038,2,Детские товары,2308,0.128,0.1232,0.1329
mattress,marketplace,Суббота,18038,3,Наволочка,2011,0.1115,0.107,0.1162
mattress,marketplace,Воскресенье,16971,1,Одеяло,2694,0.1587,0.1533,0.1643
mattress,marketplace,Воскресенье,16971,2,Детские товары,2080,0.1226,0.1177,0.1276
mattress,marketplace,Воскресенье,16971,3,Наволочка,1959,0.1154,0.1107,0.1203
mattress,non_marketplace,Понедельник,2485,1,Кровать/каркас,730,0.2938,0.2762,0.312
mattress,non_marketplace,Понедельник,2485,2,Одеяло,530,0.2133,0.1976,0.2298
mattress,non_marketplace,Понедельник,2485,3,Другая мебель,480,0.1932,0.1781,0.2091
mattress,non_marketplace,Вторник,2756,1,Кровать/каркас,825,0.2993,0.2825,0.3167
mattress,non_marketplace,Вторник,2756,2,Одеяло,550,0.1996,0.1851,0.2149
mattress,non_marketplace,Вторник,2756,3,Другая мебель,470,0.1705,0.157,0.185
mattress,non_marketplace,Среда,2767,1,Кровать/каркас,819,0.296,0.2793,0.3133
mattress,non_marketplace,Среда,2767,2,Одеяло,511,0.1847,0.1707,0.1996
mattress,non_marketplace,Среда,2767,3,Другая мебель,450,0.1626,0.1494,0.1768
mattress,non_marketplace,Четверг,2837,1,Кровать/каркас,825,0.2908,0.2744,0.3078
mattress,non_marketplace,Четверг,2837,2,Одеяло,524,0.1847,0.1709,0.1994
mattress,non_marketplace,Четверг,2837,3,Другая мебель,456,0.1607,0.1477,0.1747
mattress,non_marketplace,Пятница,3007,1,Кровать/каркас,803,0.267,0.2515,0.2831
mattress,non_marketplace,Пятница,3007,2,Одеяло,529,0.1759,0.1627,0.1899
mattress,non_marketplace,Пятница,3007,3,Другая мебель,427,0.142,0.13,0.1549
mattress,non_marketplace,Суббота,3619,1,Кровать/каркас,1001,0.2766,0.2623,0.2914
mattress,non_marketplace,Суббота,3619,2,Одеяло,562,0.1553,0.1439,0.1675
mattress,non_marketplace,Суббота,3619,3,Другая мебель,545,0.1506,0.1393,0.1626
mattress,non_marketplace,Воскресенье,2831,1,Кровать/каркас,813,0.2872,0.2708,0.3041
mattress,non_marketplace,Воскресенье,2831,2,Другая мебель,526,0.1858,0.1719,0.2006
mattress,non_marketplace,Воскресенье,2831,3,Одеяло,500,0.1766,0.163,0.1911
